s3 uri,guest_name,job_name,language_code,vocab_name,categories,channel_identification,max_speakers,show_pii,show_transcript
s3://pse-audio-files/EFRL-1991-03-02-1.mp3,unknown,EFRL-1991-03-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-09-1.mp3,unknown,EFRL-1991-03-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-16-1.mp3,unknown,EFRL-1991-03-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-23-1.mp3,unknown,EFRL-1991-03-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-03-30-1.mp3,unknown,EFRL-1991-03-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-06-1.mp3,unknown,EFRL-1991-04-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-13-1.mp3,unknown,EFRL-1991-04-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-20-1.mp3,unknown,EFRL-1991-04-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-04-27-1.mp3,unknown,EFRL-1991-04-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-04-1.mp3,unknown,EFRL-1991-05-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-11-1.mp3,unknown,EFRL-1991-05-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-18-1.mp3,unknown,EFRL-1991-05-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-05-25-1.mp3,unknown,EFRL-1991-05-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-01-1.mp3,unknown,EFRL-1991-06-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-08-1.mp3,unknown,EFRL-1991-06-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-15-1.mp3,unknown,EFRL-1991-06-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-22-1.mp3,unknown,EFRL-1991-06-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-06-29-1.mp3,unknown,EFRL-1991-06-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-06-1.mp3,unknown,EFRL-1991-07-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-13-1.mp3,unknown,EFRL-1991-07-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-20-1.mp3,unknown,EFRL-1991-07-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-07-27-1.mp3,unknown,EFRL-1991-07-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-03-1.mp3,unknown,EFRL-1991-08-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-10-1.mp3,unknown,EFRL-1991-08-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-17-1.mp3,unknown,EFRL-1991-08-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-24-1.mp3,unknown,EFRL-1991-08-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-08-31-1.mp3,unknown,EFRL-1991-08-31-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-09-07-1.mp3,unknown,EFRL-1991-09-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-09-14-1.mp3,unknown,EFRL-1991-09-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-09-21-1.mp3,unknown,EFRL-1991-09-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-09-28-1.mp3,unknown,EFRL-1991-09-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-10-05-1.mp3,unknown,EFRL-1991-10-05-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
